Step,Value
1,2942446.5
2,1570399.75
3,1846922.75
4,2914102.5
5,3154609.0
6,7028659.5
7,4758154.5
8,1108507.75
9,3982517.75
10,5380235.5
11,3937966.25
12,1319557.25
13,1647109.125
14,4428726.5
15,4205973.0
16,4683105.0
17,3043327.25
18,2815057.75
19,4159613.0
20,2291027.75
21,1852593.625
22,4320333.0
23,1754862.625
24,2394030.75
25,5850618.0
26,6074039.5
27,6158155.0
28,2021758.25
29,1155479.25
30,6598532.0
31,4136532.5
32,938156.5
33,1898846.75
34,4647380.0
35,4138376.0
36,4584992.5
37,1296459.25
38,2589476.0
39,959581.125
40,4870040.5
41,3721640.0
42,933731.1875
43,2679076.5
44,1187620.5
45,2879209.5
46,1426737.5
47,3479487.0
48,4235576.5
49,3272075.0
50,2709208.75
51,1428714.375
52,3681587.0
53,1384156.5
54,6030223.5
55,7437196.5
56,6522084.5
57,5703263.5
58,2246128.5
59,6297788.5
60,914290.6875
61,3643224.0
62,751834.5
63,6473896.5
64,4635781.5
65,2039908.875
66,1007861.5
67,7869860.5
68,3379795.25
69,4102177.25
70,4441819.0
71,4624375.5
72,692556.5625
73,2502987.5
74,3289182.0
75,6968802.0
76,2463674.75
77,5287383.0
78,674712.3125
79,4288981.5
80,4532004.5
81,3827901.25
82,5172711.0
83,4034063.75
84,984239.5625
85,2279773.75
86,2037006.5
87,6287274.5
88,2143511.0
89,7857126.0
90,2527113.25
91,5157801.5
92,4944831.5
93,1732241.625
94,1411768.5
95,2003517.5
96,949326.4375
97,4434305.5
98,6645648.0
99,2745729.0
100,2638368.5
101,4514559.5
102,4680563.0
103,1961989.375
104,3116877.5
105,1865420.75
106,3705484.75
107,4193572.75
108,2296734.5
109,2955064.0
110,5377470.5
111,1428209.0
112,1401050.875
113,4744764.0
114,6134369.0
115,2167976.25
116,3165737.75
117,2111630.5
118,2976336.25
119,1859070.125
120,2773513.75
121,4937519.0
122,4747845.0
123,2492664.25
124,5837878.0
125,3050714.75
126,5248212.0
127,5177933.5
128,5561308.5
129,5464867.0
130,4313631.0
131,1220357.375
132,1827908.625
133,2906564.75
134,2257724.0
135,1849397.875
136,2404589.75
137,3181072.75
138,2698803.75
139,7107354.0
140,5697145.0
141,2882381.0
142,4665111.5
143,5822487.0
144,4190910.25
145,1834043.75
146,5442720.0
147,3092208.5
148,4457707.0
149,6480463.0
150,5412822.5
151,2750856.0
152,2198034.75
153,3524918.5
154,4602573.0
155,2862682.25
156,4172037.0
157,5441237.0
158,4257872.0
159,5224154.0
160,2165096.75
161,3656879.75
162,2998547.0
163,5126977.5
164,5158176.5
165,5337772.5
166,2340443.5
167,3229546.75
168,1621610.5
169,2380776.75
170,3817103.0
171,2410772.75
172,2835303.75
173,4056966.0
174,1342437.625
175,6531615.5
176,4857394.5
177,4133449.75
178,2262337.5
179,1462868.625
180,4499973.5
181,2283602.75
182,3493681.0
183,4313916.0
184,1912646.75
185,5507148.0
186,2860476.25
187,3134080.75
188,5326405.0
189,3460338.5
190,4754722.5
191,3739650.0
192,6049273.0
193,5861779.0
194,4104041.5
195,1844299.125
196,1885618.375
197,2201354.0
198,4055335.25
199,4651477.5
200,1718463.125
201,3069545.0
202,6307396.5
203,3802397.75
204,4609497.0
205,3411765.75
206,5824988.0
207,5009770.5
208,2560347.25
209,6517306.0
210,2876103.25
211,6999051.0
212,4982052.0
213,4273543.0
214,2647023.5
215,2162356.5
216,3705796.0
217,5388208.5
218,4833238.0
219,3973504.25
220,5182627.5
221,4001191.25
222,2680510.5
223,5118450.0
224,4713613.0
225,4535106.5
226,7463165.0
227,2372384.75
228,2914023.75
229,2055226.125
230,2853194.75
231,4021033.25
232,1544453.0
233,3255324.75
234,4627228.5
235,3574141.5
236,3978054.5
237,4014836.75
238,2654489.5
239,2515308.25
240,5185748.5
241,2504468.5
242,2503360.75
243,2220614.0
244,2341875.25
245,2700428.0
246,4500267.0
247,3649146.75
248,5290209.0
249,6434892.5
250,2886198.25
251,4114217.25
252,3956668.5
253,3530801.0
254,2259847.0
255,6362368.0
256,4643327.5
257,5451799.0
258,946191.875
259,3632622.25
260,6148135.0
261,3838853.5
262,5182340.0
263,4340819.5
264,3510711.0
265,1926737.0
266,4503186.5
267,6364008.0
268,3677924.0
269,5007386.0
270,6665144.0
271,1634428.5
272,6472156.0
273,5516282.5
274,5531138.0
275,6365481.0
276,2596960.0
277,3567212.75
278,7317838.5
279,2625502.25
280,6850312.5
281,4225222.5
282,5170364.5
283,4450452.5
284,4204657.0
285,4417903.0
286,6245209.5
287,3790170.75
288,5689546.5
289,4102090.5
290,3140739.0
291,5884136.0
292,4509141.0
293,3774061.5
294,5113084.5
295,5031093.0
296,4099974.75
297,6417478.5
298,3288263.0
299,3421680.0
300,4137746.5
301,4939238.0
302,4390010.0
303,1816989.75
304,3112975.75
305,4348278.5
306,6425490.5
307,4200366.0
308,4143090.25
309,6287198.5
310,3446844.75
311,3253972.25
312,2240019.5
313,5952787.0
314,4930486.5
315,1388319.875
316,2337619.5
317,4400340.5
318,3532275.0
319,6070400.0
320,2153843.75
321,5208928.0
322,6318225.5
323,4516258.5
324,4679929.0
325,3178666.25
326,3605930.0
327,4520859.5
328,3132515.5
329,4531369.0
330,4144535.75
331,4401690.0
332,5348457.5
333,4784008.5
334,4181079.5
335,3393548.25
336,6133069.5
337,3278664.0
338,6289210.5
339,6551597.5
340,3413477.25
341,4104433.25
342,3236939.25
343,5802926.5
344,3794783.0
345,2613996.0
346,2749560.75
347,5002820.5
348,4745430.5
349,7654161.0
350,6131227.5
351,2843507.75
352,2696960.5
353,7181474.0
354,3411986.25
355,5173918.5
356,4086279.75
357,6085980.5
358,2675897.0
359,4167801.75
360,3294924.25
361,5472982.0
362,3758380.0
363,4276280.0
364,7336855.0
365,3257462.0
366,5027396.5
367,5780444.0
368,4349062.0
369,5786993.0
370,5708267.5
371,3665177.0
372,4854841.0
373,4044262.75
374,4256593.5
375,4855455.0
376,4482907.5
377,3398482.75
378,4562791.0
379,3631982.75
380,6137334.0
381,4467219.0
382,5206738.5
383,3646328.5
384,5775532.5
385,4805992.5
386,4417906.5
387,5401239.5
388,4653105.0
389,4199142.0
390,4305909.5
391,3446540.75
392,4491427.0
393,5325982.5
394,5421490.0
395,5099581.0
396,3490877.25
397,5472808.0
398,4507076.0
399,3027299.0
400,3112134.25
401,6621722.0
402,5238486.5
403,4014231.25
404,4986460.0
405,4555085.0
406,4378568.5
407,4181444.25
408,3679359.25
409,6250693.0
410,3689178.25
411,5280950.5
412,3743607.5
413,4828135.5
414,4276333.5
415,5379352.5
416,4452596.5
417,6438538.5
418,5154604.5
419,7152461.0
420,3533995.25
421,4956373.5
422,4061558.25
423,4300624.0
424,5325464.0
425,2993375.25
426,5468026.5
427,3863984.25
428,4754558.0
429,4718060.5
430,5779473.0
431,6100074.0
432,4104170.75
433,5141360.0
434,4983926.5
435,3344890.0
436,4821972.5
437,3544993.5
438,4496713.5
439,4084401.25
440,5334850.0
441,4345724.5
442,3347753.5
443,3093039.75
444,2657715.75
445,5153040.5
446,4191104.75
447,5948959.5
448,7384363.0
449,4974223.5
450,3542951.75
451,5360154.5
452,3667938.75
453,5462761.5
454,4166262.25
455,4342492.0
456,5676885.0
457,5650224.5
458,4841251.0
459,4564619.5
460,5411444.5
461,4690382.0
462,5348464.5
463,5763176.0
464,4683551.0
465,6915331.5
466,4294532.0
467,4069027.0
468,4098019.5
469,4406200.0
470,6107148.0
471,3896114.25
472,5070197.5
473,3715997.25
474,3945641.5
475,6470673.0
476,3485905.25
477,5482427.0
478,4695821.0
479,4234029.5
480,4133328.25
481,6308517.0
482,2630280.75
483,3559184.25
484,3455611.25
485,4202713.0
486,3538544.75
487,4419959.0
488,3731555.25
489,3745516.75
490,4458151.0
491,5212736.5
492,4902026.0
493,5041274.0
494,4791045.5
495,4152610.5
496,4858753.0
497,4128084.5
498,3740692.5
499,6087307.5
500,4379080.0
501,6235336.0
502,6125738.0
503,3580204.0
504,3112912.25
505,6523348.0
506,6804262.5
507,4187704.5
508,4140926.25
509,5523245.5
510,6860310.0
511,5603201.5
512,4212429.0
513,4294258.0
514,4119165.0
515,3966249.5
516,3978182.75
517,3662779.75
518,4240492.0
519,5426484.5
520,3947208.25
521,5401755.0
522,4548180.0
523,5822365.5
524,4193916.5
525,5603190.0
526,6935296.0
527,4734824.5
528,2592761.75
529,4533359.0
530,3984071.5
531,4194670.5
532,4087337.5
533,3823001.75
534,3787928.0
535,3825973.0
536,4637296.0
537,3966267.0
538,4827414.0
539,4419431.5
540,5249856.0
541,5956043.5
542,5471374.5
543,4992998.0
544,4131612.0
545,4038721.0
546,3694832.5
547,4903855.5
548,4280188.5
549,5051610.0
550,4377232.5
551,7455440.0
552,5545479.5
553,4642530.0
554,3636275.75
555,3551775.75
556,3556685.5
557,5812480.0
558,3099461.25
559,4683105.0
560,5325689.5
561,5337909.0
562,3178877.5
563,4075413.75
564,4471458.5
565,4975945.0
566,4971401.0
567,4369227.0
568,4177528.25
569,4686776.5
570,3859675.5
571,4249736.5
572,3824016.25
573,3280514.75
574,4020651.25
575,3042672.0
576,4948592.0
577,4322223.5
578,5792565.5
579,3422851.0
580,4294755.0
581,3769221.25
582,2139853.25
583,4112159.5
584,5030486.5
585,4433687.5
586,4467944.0
587,5506186.0
588,4700255.0
589,4478227.0
590,3952100.75
591,3850797.5
592,3878375.0
593,3645649.75
594,5131913.0
595,4328243.5
596,5203803.0
597,5022547.0
598,5081915.5
599,4615633.0
600,4349873.0
601,5297510.5
602,4756616.0
603,5586120.5
604,3861019.25
605,4437051.5
606,4472602.5
607,3695002.75
608,5002349.5
609,3738751.0
610,5077695.5
611,4855965.5
612,4607868.5
613,4656916.0
614,4285961.5
615,4226933.5
616,4378436.5
617,4959240.5
618,4504253.5
619,4600356.0
620,4327529.0
621,4538422.5
622,3333333.5
623,3661383.5
624,4124203.25
625,4147790.75
626,4230728.5
627,5306917.5
628,5398923.0
629,4940282.5
630,5360273.0
631,5357083.0
632,4099585.5
633,4150205.75
634,5623842.0
635,6197980.0
636,5488876.5
637,3453625.5
638,3766073.0
639,4471775.5
640,6083046.0
641,4427648.5
642,2574924.75
643,4711428.0
644,4767875.0
645,5227756.5
646,4625833.5
647,5099117.0
648,4926035.0
649,4874435.5
650,5493660.5
