Step,Value
1,6216272.0
2,1004832.9375
3,6069442.5
4,4076919.5
5,1663914.0
6,1137922.75
7,910753.6875
8,1140890.625
9,2653727.5
10,2542270.5
11,2001812.5
12,7360885.5
13,1507821.875
14,1142546.875
15,2543431.25
16,4683105.0
17,5611644.5
18,3498539.75
19,4157975.5
20,5313544.5
21,5299870.0
22,1359334.0
23,1831604.25
24,906653.6875
25,3333914.25
26,1805356.625
27,3008429.0
28,2497654.75
29,7689041.0
30,1452568.5
31,5136521.0
32,2646730.25
33,6202307.5
34,2676310.0
35,4549377.5
36,2800691.5
37,1142811.125
38,3366166.25
39,4420869.0
40,3511708.75
41,2556720.0
42,6523860.0
43,4641846.5
44,5692193.0
45,2827025.0
46,1199347.875
47,4235749.0
48,3882008.25
49,2453974.25
50,4337918.0
51,4503827.5
52,3681587.0
53,4307921.5
54,2175666.5
55,1498294.875
56,1696639.5
57,3524884.0
58,2689708.0
59,1558507.125
60,2329964.25
61,757746.25
62,3692817.75
63,1389565.125
64,3829576.25
65,5798895.5
66,7447145.0
67,1065069.75
68,1674106.375
69,2515839.0
70,3789228.25
71,1837766.5
72,4653721.5
73,6603346.5
74,3289182.0
75,943124.8125
76,3754779.0
77,3517055.75
78,4921019.5
79,3867458.75
80,2733997.75
81,3827901.25
82,3966897.5
83,5150394.5
84,3540748.25
85,3850841.75
86,3397827.75
87,2726435.75
88,1161036.25
89,1063346.375
90,6377659.0
91,2173368.0
92,2184809.25
93,1048945.375
94,5369481.0
95,5652894.0
96,6590794.5
97,4434305.5
98,920783.9375
99,2745729.0
100,4626352.0
101,4514559.5
102,1283380.875
103,3609753.75
104,820488.25
105,1017738.875
106,3500295.0
107,2543256.5
108,3077253.5
109,5658447.0
110,3346587.0
111,6642951.0
112,4986155.5
113,1600574.875
114,1932815.5
115,4970958.0
116,2404160.25
117,5707150.0
118,3415697.0
119,1195187.375
120,3379830.5
121,2939856.75
122,642550.9375
123,4061619.0
124,1518618.5
125,828375.0625
126,1615920.25
127,3812867.75
128,3384012.5
129,2380004.75
130,1925764.875
131,2356146.5
132,4559502.5
133,4646177.5
134,3903721.5
135,1387478.5
136,5190820.0
137,5991043.5
138,6253454.5
139,1930770.625
140,2156698.5
141,6269178.5
142,4135189.0
143,1479363.0
144,4010906.25
145,5084114.5
146,3041806.75
147,5465480.5
148,2388724.0
149,2046249.25
150,2510863.0
151,5365933.0
152,4211223.0
153,2841402.25
154,3198947.0
155,2725781.25
156,2129755.25
157,1531976.25
158,2948771.0
159,3145105.5
160,2503124.5
161,1563918.0
162,4711087.0
163,1270342.0
164,2586866.25
165,1966925.125
166,4733831.5
167,2723062.75
168,5202638.0
169,2832827.75
170,1577262.125
171,3996032.75
172,1615484.375
173,2787658.5
174,5826967.5
175,2013461.875
176,2478208.5
177,1733100.75
178,6739073.5
179,5351657.5
180,4261150.0
181,5958195.5
182,4055960.5
183,1592478.125
184,6400845.0
185,2542435.75
186,5538730.5
187,3955007.5
188,2080781.5
189,5198944.0
190,1449170.0
191,3973680.25
192,1872183.5
193,1964397.75
194,4852059.0
195,3191937.5
196,4792294.0
197,1957337.75
198,3867769.0
199,4651477.5
200,4210412.0
201,1680492.25
202,2458507.0
203,1577596.375
204,1921057.75
205,3271458.25
206,2723960.5
207,3090009.5
208,2479785.75
209,882021.4375
210,5540010.5
211,1740753.625
212,2560536.25
213,1415502.25
214,4579793.5
215,3329080.25
216,750287.5
217,1947821.25
218,3284609.5
219,3383097.0
220,2255882.25
221,1797253.375
222,1634980.75
223,1526154.875
224,1783918.875
225,2552185.25
226,1010029.5625
227,6536519.5
228,1751591.125
229,6448813.0
230,5629050.0
