Step,Value
1,61.0
2,47.0
3,57.0
4,81.0
5,82.0
6,88.0
7,108.0
8,78.0
9,91.0
10,120.0
11,157.0
12,125.0
13,124.0
14,111.0
15,92.0
16,102.0
17,107.0
18,183.0
19,182.0
20,102.0
21,139.0
22,121.0
23,149.0
24,175.0
25,205.0
26,158.0
27,202.0
28,165.0
29,140.0
30,156.0
31,111.0
32,98.0
33,88.0
34,79.0
35,61.0
36,70.0
37,47.0
38,59.0
39,36.0
40,43.0
41,27.0
42,51.0
43,68.0
44,61.0
45,3.0
46,49.0
47,63.0
48,72.0
49,90.0
50,66.0
51,79.0
52,92.0
53,77.0
54,86.0
55,76.0
56,93.0
57,79.0
58,40.0
59,62.0
60,71.0
61,44.0
62,51.0
63,46.0
64,78.0
65,97.0
66,80.0
67,60.0
68,84.0
69,81.0
70,83.0
71,90.0
72,108.0
73,147.0
74,65.0
75,129.0
76,147.0
77,74.0
78,129.0
79,109.0
80,95.0
81,49.0
82,100.0
83,78.0
84,77.0
85,49.0
86,81.0
87,116.0
88,109.0
89,118.0
90,119.0
91,140.0
92,198.0
93,173.0
94,160.0
95,135.0
96,112.0
97,145.0
98,117.0
99,102.0
100,82.0
101,89.0
102,91.0
103,107.0
104,102.0
105,94.0
106,70.0
107,89.0
108,91.0
109,60.0
110,93.0
111,131.0
112,177.0
113,163.0
114,150.0
115,148.0
116,98.0
117,115.0
118,112.0
119,159.0
120,150.0
121,119.0
122,85.0
123,86.0
124,76.0
125,89.0
126,71.0
127,64.0
128,55.0
129,56.0
130,67.0
131,65.0
132,75.0
133,59.0
134,76.0
135,54.0
136,46.0
137,49.0
138,60.0
139,93.0
140,98.0
141,94.0
142,97.0
143,70.0
144,61.0
145,71.0
146,67.0
147,59.0
148,64.0
149,42.0
150,33.0
151,29.0
152,58.0
153,47.0
154,48.0
155,74.0
156,111.0
157,101.0
158,94.0
159,71.0
160,93.0
161,121.0
162,154.0
163,160.0
164,154.0
165,168.0
166,210.0
167,212.0
168,202.0
169,155.0
170,149.0
171,197.0
172,152.0
173,133.0
174,138.0
175,121.0
176,124.0
177,123.0
178,132.0
179,122.0
180,128.0
181,95.0
182,73.0
183,94.0
184,47.0
185,62.0
186,55.0
187,54.0
188,56.0
189,38.0
190,32.0
191,35.0
192,32.0
193,42.0
194,31.0
195,41.0
196,56.0
197,58.0
198,59.0
199,78.0
200,68.0
201,87.0
202,79.0
203,93.0
204,82.0
205,70.0
206,83.0
207,87.0
208,106.0
209,101.0
210,85.0
211,72.0
212,73.0
213,76.0
214,66.0
215,82.0
216,78.0
217,64.0
218,67.0
219,91.0
220,124.0
221,116.0
222,92.0
223,85.0
224,104.0
225,87.0
226,103.0
227,104.0
228,75.0
229,74.0
230,78.0
231,74.0
232,65.0
233,68.0
234,68.0
235,92.0
236,49.0
237,66.0
238,81.0
239,62.0
240,75.0
241,72.0
242,53.0
243,66.0
244,71.0
245,71.0
246,83.0
247,97.0
248,89.0
249,71.0
250,80.0
251,79.0
252,43.0
253,44.0
254,55.0
255,59.0
256,56.0
257,56.0
258,56.0
259,45.0
260,51.0
261,52.0
262,71.0
263,85.0
264,68.0
265,82.0
266,129.0
267,118.0
268,97.0
269,102.0
270,105.0
271,104.0
272,86.0
273,58.0
274,53.0
275,44.0
276,74.0
277,73.0
278,56.0
279,59.0
280,54.0
281,50.0
282,58.0
283,78.0
284,79.0
285,52.0
286,72.0
287,56.0
288,58.0
289,86.0
290,65.0
291,70.0
292,87.0
293,97.0
294,117.0
295,135.0
296,111.0
297,98.0
298,118.0
299,95.0
300,81.0
301,80.0
302,77.0
303,115.0
304,105.0
305,122.0
306,123.0
307,164.0
308,150.0
309,148.0
310,162.0
311,191.0
312,201.0
313,163.0
314,116.0
315,164.0
316,139.0
317,149.0
318,80.0
319,113.0
320,119.0
321,114.0
322,75.0
323,59.0
324,60.0
325,49.0
326,54.0
327,76.0
328,95.0
329,105.0
330,100.0
331,121.0
332,123.0
333,124.0
334,126.0
335,82.0
336,70.0
337,111.0
338,88.0
339,62.0
340,93.0
341,77.0
342,55.0
343,65.0
344,61.0
345,75.0
346,58.0
347,53.0
348,59.0
349,61.0
350,81.0
351,75.0
352,78.0
353,63.0
354,59.0
355,77.0
356,94.0
357,69.0
358,82.0
359,120.0
360,182.0
361,158.0
362,150.0
363,84.0
364,91.0
365,138.0
366,145.0
367,112.0
368,122.0
369,137.0
370,150.0
371,135.0
372,145.0
373,154.0
374,115.0
375,108.0
376,94.0
377,126.0
378,87.0
379,74.0
380,66.0
381,55.0
382,75.0
383,64.0
384,51.0
385,60.0
386,60.0
387,91.0
388,55.0
389,87.0
390,88.0
391,94.0
392,85.0
393,94.0
394,93.0
395,116.0
396,158.0
397,136.0
398,135.0
399,151.0
400,139.0
401,195.0
402,192.0
403,142.0
404,203.0
405,174.0
406,167.0
407,199.0
408,179.0
409,130.0
410,150.0
411,129.0
412,119.0
413,136.0
414,116.0
415,121.0
416,118.0
417,113.0
418,102.0
419,86.0
420,77.0
421,54.0
422,44.0
423,58.0
424,49.0
425,45.0
426,61.0
427,52.0
428,60.0
429,53.0
430,49.0
431,69.0
432,68.0
433,75.0
434,76.0
435,57.0
436,64.0
437,93.0
438,93.0
439,74.0
440,84.0
441,83.0
442,87.0
443,98.0
444,130.0
445,103.0
446,100.0
447,99.0
448,104.0
449,84.0
450,84.0
451,78.0
452,70.0
453,88.0
454,103.0
455,103.0
456,108.0
457,118.0
458,94.0
459,85.0
460,122.0
461,103.0
462,65.0
463,60.0
464,72.0
465,41.0
466,52.0
467,51.0
468,46.0
469,46.0
470,48.0
471,28.0
472,45.0
473,48.0
474,60.0
475,64.0
476,75.0
477,74.0
478,78.0
479,91.0
480,93.0
481,103.0
482,125.0
483,170.0
484,146.0
485,121.0
486,124.0
487,120.0
488,137.0
489,142.0
490,117.0
491,127.0
492,129.0
