Step,Value
1,210.10061645507812
2,149.49005126953125
3,154.22653198242188
4,214.86758422851562
5,233.7447052001953
6,429.7977600097656
7,324.2894592285156
8,146.6329803466797
9,280.32672119140625
10,338.03289794921875
11,273.7859802246094
12,140.65390014648438
13,169.56906127929688
14,297.787841796875
15,284.43902587890625
16,303.5860900878906
17,212.64694213867188
18,211.68885803222656
19,276.6365051269531
20,177.722900390625
21,164.87356567382812
22,290.78948974609375
23,157.63482666015625
24,195.8711700439453
25,354.59429931640625
26,367.2937927246094
27,370.38702392578125
28,175.14598083496094
29,114.82523345947266
30,388.20794677734375
31,258.8418273925781
32,116.99595642089844
33,154.85275268554688
34,294.5285949707031
35,264.0851745605469
36,299.26971435546875
37,148.04486083984375
38,202.6189422607422
39,117.59992218017578
40,318.7773132324219
41,258.7518005371094
42,112.69794464111328
43,199.81834411621094
44,120.75495147705078
45,211.3697052001953
46,130.82325744628906
47,245.78648376464844
48,285.7593078613281
49,246.62442016601562
50,210.672607421875
51,128.5855712890625
52,253.91331481933594
53,132.29635620117188
54,372.97698974609375
55,444.8235168457031
56,399.29888916015625
57,347.7830810546875
58,180.20535278320312
59,376.5133972167969
60,115.97562408447266
61,258.4623107910156
62,103.46268463134766
63,390.80572509765625
64,297.7235107421875
65,167.67648315429688
66,106.10691833496094
67,458.3456726074219
68,242.36322021484375
69,274.22711181640625
70,287.9167785644531
71,307.473388671875
72,94.30641174316406
73,183.89340209960938
74,242.4988555908203
75,421.2292175292969
76,191.30203247070312
77,332.74822998046875
78,82.92745971679688
79,278.3763122558594
80,299.24285888671875
81,260.2330627441406
82,322.2701110839844
83,263.97601318359375
84,120.36442565917969
85,183.18849182128906
86,175.45455932617188
87,370.3274841308594
88,183.80264282226562
89,443.3984375
90,186.87066650390625
91,314.43096923828125
92,310.2358093261719
93,156.24085998535156
94,126.22918701171875
95,165.51495361328125
96,107.97360229492188
97,276.91192626953125
98,382.3450622558594
99,208.0076141357422
100,196.95884704589844
101,292.9267883300781
102,304.8964538574219
103,168.2672119140625
104,245.3888397216797
105,166.72750854492188
106,262.7003479003906
107,294.9316101074219
108,194.58702087402344
109,219.57803344726562
110,339.11566162109375
111,141.3295135498047
112,142.28564453125
113,304.5798645019531
114,366.499267578125
115,183.22328186035156
116,229.25941467285156
117,173.3092041015625
118,219.8627471923828
119,168.98764038085938
120,209.18504333496094
121,314.2474365234375
122,309.6260681152344
123,193.55201721191406
124,364.71209716796875
125,229.62437438964844
126,342.9145202636719
127,332.37005615234375
128,350.8605041503906
129,353.8459167480469
130,297.5034484863281
131,149.3686981201172
132,180.7025909423828
133,233.98704528808594
134,192.18455505371094
135,167.99049377441406
136,196.48123168945312
137,233.1324005126953
138,206.58030700683594
139,421.77423095703125
140,354.76556396484375
141,225.08343505859375
142,305.2742004394531
143,368.5965576171875
144,293.5466003417969
145,176.39315795898438
146,358.59674072265625
147,244.7482147216797
148,299.85845947265625
149,409.57611083984375
150,354.93511962890625
151,217.81300354003906
152,187.96530151367188
153,249.761962890625
154,298.9093017578125
155,210.8245849609375
156,285.24774169921875
157,340.5985107421875
158,284.3844299316406
159,333.9156188964844
160,185.50453186035156
161,256.35546875
162,223.44581604003906
163,329.40576171875
164,331.0249938964844
165,333.33099365234375
166,200.8596954345703
167,238.49734497070312
168,166.78231811523438
169,209.46377563476562
170,269.3353271484375
171,197.11813354492188
172,217.310791015625
173,275.1612854003906
174,141.55511474609375
175,385.6833801269531
176,296.7060852050781
177,261.6706237792969
178,169.8078155517578
179,133.23330688476562
180,275.9471130371094
181,173.16017150878906
182,233.04705810546875
183,270.7164306640625
184,154.6695098876953
185,339.66302490234375
186,206.93113708496094
187,230.65428161621094
188,342.6173400878906
189,253.89817810058594
190,326.87237548828125
191,267.7770080566406
192,386.80548095703125
193,378.224365234375
194,280.5630187988281
195,174.21177673339844
196,174.19252014160156
197,191.17181396484375
198,284.0711364746094
199,301.60845947265625
200,156.1580810546875
201,233.80633544921875
202,383.9942932128906
203,264.359130859375
204,297.663330078125
205,236.70423889160156
206,360.2925109863281
207,314.49017333984375
208,214.04713439941406
209,408.63671875
210,216.6483917236328
211,421.51568603515625
212,325.9793701171875
213,295.0018310546875
214,208.7462615966797
215,187.84988403320312
216,260.7293395996094
217,337.5084533691406
218,311.8694763183594
219,269.9808044433594
220,327.1490173339844
221,266.9805908203125
222,196.0723419189453
223,320.60589599609375
224,307.1810607910156
225,303.44940185546875
226,441.98480224609375
227,191.09608459472656
228,222.86428833007812
229,174.1754150390625
230,211.2071990966797
231,274.9350280761719
232,145.46615600585938
233,239.3680419921875
234,302.2618408203125
235,252.23330688476562
236,275.7593078613281
237,279.6760559082031
238,206.70364379882812
239,192.65951538085938
240,329.2588806152344
